,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
65,37,admin.,married,university.degree,no,no,no,telephone,may,mon,232,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
66,44,blue-collar,single,basic.9y,no,yes,no,telephone,may,mon,91,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
67,33,admin.,married,,no,yes,no,telephone,may,mon,273,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
68,56,admin.,married,basic.9y,no,yes,no,telephone,may,mon,158,2,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
69,44,blue-collar,single,basic.4y,,yes,yes,telephone,may,mon,177,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
70,41,management,married,basic.6y,no,no,no,telephone,may,mon,200,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
71,44,management,divorced,university.degree,no,yes,no,telephone,may,mon,172,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
72,47,admin.,married,university.degree,,yes,no,telephone,may,mon,176,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
73,57,,married,,,no,no,telephone,may,mon,211,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
74,37,admin.,married,university.degree,,yes,no,telephone,may,mon,214,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
75,41,blue-collar,divorced,basic.4y,,yes,no,telephone,may,mon,1575,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,yes
76,55,technician,married,university.degree,no,no,no,telephone,may,mon,349,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
77,33,services,married,high.school,,yes,no,telephone,may,mon,337,2,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
78,55,management,married,,,yes,no,telephone,may,mon,272,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
79,42,blue-collar,married,basic.9y,,no,no,telephone,may,mon,208,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
80,50,blue-collar,married,basic.4y,,yes,no,telephone,may,mon,193,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
81,51,blue-collar,married,basic.4y,,,,telephone,may,mon,212,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
82,38,admin.,married,high.school,,no,no,telephone,may,mon,165,2,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
83,49,entrepreneur,married,university.degree,,yes,no,telephone,may,mon,1042,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,yes
84,38,technician,single,university.degree,no,no,yes,telephone,may,mon,20,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
85,31,admin.,divorced,high.school,no,no,no,telephone,may,mon,246,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
86,41,management,married,basic.6y,no,no,no,telephone,may,mon,529,2,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
87,39,admin.,married,university.degree,no,yes,yes,telephone,may,mon,192,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
88,49,technician,married,basic.9y,no,no,no,telephone,may,mon,1467,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,yes
89,34,admin.,married,high.school,no,yes,no,telephone,may,mon,188,2,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
90,35,admin.,married,university.degree,no,yes,no,telephone,may,mon,180,2,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
91,57,,married,,,yes,no,telephone,may,mon,48,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
92,60,admin.,married,,,no,yes,telephone,may,mon,213,2,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
93,33,unemployed,married,basic.9y,no,no,no,telephone,may,mon,545,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
94,42,blue-collar,married,basic.6y,no,no,yes,telephone,may,mon,583,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
95,45,services,married,professional.course,no,yes,no,telephone,may,mon,221,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
96,42,management,married,university.degree,no,no,no,telephone,may,mon,426,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
97,53,admin.,divorced,university.degree,,no,no,telephone,may,mon,287,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
98,37,technician,single,professional.course,no,no,no,telephone,may,mon,197,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
99,44,blue-collar,married,basic.6y,no,no,no,telephone,may,mon,257,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
100,54,services,married,,no,yes,no,telephone,may,mon,229,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
101,49,blue-collar,married,basic.4y,no,no,no,telephone,may,mon,55,3,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
102,54,services,married,,no,no,no,telephone,may,mon,400,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
103,52,admin.,divorced,university.degree,no,no,no,telephone,may,mon,197,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
104,52,admin.,divorced,university.degree,no,no,no,telephone,may,mon,190,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
105,43,services,single,high.school,,no,no,telephone,may,mon,21,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
106,34,housemaid,married,basic.6y,no,yes,no,telephone,may,mon,300,2,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
107,35,admin.,married,high.school,no,yes,no,telephone,may,mon,123,2,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
108,42,entrepreneur,married,,,yes,no,telephone,may,mon,293,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
109,43,technician,married,,,yes,yes,telephone,may,mon,325,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
110,60,retired,divorced,university.degree,,no,no,telephone,may,mon,514,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
111,58,unemployed,married,basic.4y,,no,no,telephone,may,mon,849,2,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
112,35,services,divorced,high.school,no,yes,no,telephone,may,mon,194,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
113,55,blue-collar,married,basic.9y,,yes,no,telephone,may,mon,212,2,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
114,37,management,married,university.degree,no,no,no,telephone,may,mon,337,2,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
115,36,blue-collar,married,high.school,no,no,no,telephone,may,mon,286,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
116,52,admin.,divorced,university.degree,no,no,no,telephone,may,mon,247,2,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
117,57,blue-collar,divorced,,,yes,no,telephone,may,mon,518,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
118,56,admin.,married,,no,yes,no,telephone,may,mon,364,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
119,48,blue-collar,divorced,basic.4y,,yes,no,telephone,may,mon,178,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
120,40,blue-collar,married,high.school,,yes,no,telephone,may,mon,98,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
121,49,blue-collar,divorced,high.school,no,no,no,telephone,may,mon,439,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
122,41,services,married,high.school,no,no,no,telephone,may,mon,139,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
123,45,technician,married,high.school,no,yes,no,telephone,may,mon,79,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
124,32,admin.,married,university.degree,no,yes,yes,telephone,may,mon,175,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
125,42,admin.,married,university.degree,no,no,yes,telephone,may,mon,262,2,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
126,50,admin.,married,basic.6y,no,no,no,telephone,may,mon,61,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
127,31,technician,divorced,professional.course,no,yes,yes,telephone,may,mon,78,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
128,56,retired,married,basic.4y,no,yes,no,telephone,may,mon,102,2,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
129,41,technician,married,professional.course,,yes,no,telephone,may,mon,579,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,yes
130,37,blue-collar,married,basic.6y,no,yes,yes,telephone,may,mon,143,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
131,41,technician,married,professional.course,,no,no,telephone,may,mon,677,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
132,35,blue-collar,married,,no,yes,no,telephone,may,mon,267,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
133,37,blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,345,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
134,52,management,married,university.degree,no,no,no,telephone,may,mon,185,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
135,39,management,divorced,university.degree,no,no,no,telephone,may,mon,207,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
136,39,housemaid,married,basic.4y,,no,no,telephone,may,mon,69,2,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
137,56,blue-collar,married,basic.4y,,no,no,telephone,may,mon,100,2,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
138,34,services,married,high.school,no,yes,no,telephone,may,mon,125,2,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
139,45,blue-collar,married,basic.9y,,yes,no,telephone,may,mon,461,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,yes
140,43,unemployed,single,university.degree,no,yes,no,telephone,may,mon,240,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
141,56,management,married,,no,yes,no,telephone,may,mon,70,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
142,39,management,married,university.degree,no,yes,no,telephone,may,mon,193,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
143,53,blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,136,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
144,38,,divorced,high.school,,yes,no,telephone,may,mon,73,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
145,42,blue-collar,married,basic.4y,,yes,no,telephone,may,mon,528,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
146,42,blue-collar,married,basic.4y,,no,no,telephone,may,mon,541,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
147,35,admin.,single,high.school,no,yes,no,telephone,may,mon,338,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
148,40,admin.,married,university.degree,,yes,no,telephone,may,mon,163,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
149,51,blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,87,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
150,60,blue-collar,married,basic.9y,,no,no,telephone,may,mon,301,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
151,56,entrepreneur,married,,,yes,no,telephone,may,mon,46,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
152,39,services,divorced,high.school,,yes,no,telephone,may,mon,52,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
153,56,entrepreneur,married,,,no,no,telephone,may,mon,204,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
154,40,blue-collar,married,,no,yes,yes,telephone,may,mon,155,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
155,36,blue-collar,married,basic.9y,no,yes,yes,telephone,may,mon,98,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
156,51,blue-collar,married,,,yes,no,telephone,may,mon,71,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
157,51,blue-collar,married,,,no,no,telephone,may,mon,243,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
158,43,technician,single,professional.course,no,yes,no,telephone,may,mon,186,2,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
159,59,services,married,high.school,no,no,no,telephone,may,mon,579,2,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
160,24,management,single,university.degree,no,yes,no,telephone,may,mon,165,2,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
161,37,blue-collar,single,basic.9y,,yes,yes,telephone,may,mon,163,2,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
162,40,blue-collar,married,basic.9y,,no,no,telephone,may,mon,46,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
163,42,blue-collar,married,basic.9y,,no,no,telephone,may,mon,559,3,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
164,39,services,divorced,high.school,,no,no,telephone,may,mon,2033,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
165,37,entrepreneur,married,basic.6y,no,no,no,telephone,may,mon,85,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
166,38,services,married,high.school,no,yes,yes,telephone,may,mon,506,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
167,56,admin.,divorced,,,no,no,telephone,may,mon,114,2,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
168,40,blue-collar,married,,no,no,no,telephone,may,mon,114,2,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
169,54,management,divorced,university.degree,no,yes,no,telephone,may,mon,843,2,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
170,43,blue-collar,married,high.school,,no,yes,telephone,may,mon,181,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
171,36,services,married,high.school,,no,no,telephone,may,mon,427,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
172,45,technician,married,university.degree,no,yes,yes,telephone,may,mon,292,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
173,42,admin.,single,university.degree,,no,no,telephone,may,mon,192,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
174,43,services,married,high.school,no,no,no,telephone,may,mon,93,3,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
175,46,management,married,basic.9y,no,no,no,telephone,may,mon,128,2,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
176,44,services,married,high.school,no,yes,yes,telephone,may,mon,107,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
177,51,admin.,single,basic.6y,no,no,no,telephone,may,mon,303,2,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
178,28,services,married,high.school,no,yes,no,telephone,may,mon,81,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
179,37,blue-collar,married,basic.9y,no,no,no,telephone,may,mon,270,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
180,34,technician,married,high.school,no,no,no,telephone,may,mon,228,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
181,46,blue-collar,married,basic.6y,,yes,no,telephone,may,mon,240,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
182,42,blue-collar,married,basic.9y,no,yes,yes,telephone,may,mon,673,2,999,0,,1.1,93.994,-36.4,4.857,5191.0,yes
183,36,admin.,married,university.degree,no,yes,no,telephone,may,mon,233,3,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
184,54,blue-collar,married,basic.4y,,no,no,telephone,may,mon,102,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
185,57,management,married,university.degree,no,no,no,telephone,may,mon,461,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
186,51,technician,married,basic.6y,,no,no,telephone,may,mon,250,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
187,54,retired,married,high.school,,no,no,telephone,may,mon,130,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
188,49,blue-collar,married,basic.4y,,no,no,telephone,may,mon,252,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
189,34,admin.,married,university.degree,no,yes,no,telephone,may,mon,138,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
190,41,technician,married,professional.course,no,no,no,telephone,may,mon,412,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
191,38,blue-collar,single,basic.9y,no,yes,no,telephone,may,mon,179,2,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
192,45,management,divorced,university.degree,no,no,no,telephone,may,mon,19,2,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
193,42,technician,married,university.degree,no,no,no,telephone,may,mon,228,2,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
194,34,blue-collar,single,basic.9y,,yes,no,telephone,may,mon,55,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
195,48,blue-collar,married,basic.4y,no,yes,no,telephone,may,mon,717,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
196,37,admin.,married,high.school,,yes,no,telephone,may,mon,313,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
197,34,blue-collar,single,basic.9y,,no,no,telephone,may,mon,289,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
198,40,admin.,married,basic.9y,,yes,no,telephone,may,mon,683,2,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
199,43,blue-collar,married,basic.6y,no,yes,no,telephone,may,mon,1077,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
200,33,services,married,high.school,no,no,no,telephone,may,mon,146,2,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
201,32,services,single,basic.6y,no,no,no,telephone,may,mon,167,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
202,39,blue-collar,married,high.school,no,yes,no,telephone,may,mon,356,2,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
203,43,admin.,married,,no,no,no,telephone,may,mon,277,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
204,44,blue-collar,married,basic.9y,no,yes,no,telephone,may,mon,172,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
205,35,student,single,university.degree,,no,no,telephone,may,mon,218,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
206,35,student,single,university.degree,,yes,yes,telephone,may,mon,217,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
207,35,unemployed,married,professional.course,no,no,no,telephone,may,mon,67,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
208,36,services,single,basic.4y,no,no,no,telephone,may,mon,291,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
209,35,student,single,university.degree,,yes,no,telephone,may,mon,248,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
210,36,student,single,basic.9y,no,yes,no,telephone,may,mon,256,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
211,55,housemaid,divorced,university.degree,no,no,no,telephone,may,mon,286,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
212,59,admin.,married,university.degree,no,no,no,telephone,may,mon,477,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
213,57,retired,married,,,no,no,telephone,may,mon,611,2,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
214,39,blue-collar,married,professional.course,,yes,no,telephone,may,mon,471,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
215,39,housemaid,married,basic.4y,,yes,no,telephone,may,mon,381,2,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
216,30,blue-collar,single,,no,yes,no,telephone,may,mon,251,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
217,30,blue-collar,single,,no,yes,yes,telephone,may,mon,408,1,999,0,,1.1,93.994,-36.4,4.857,5191.0,no
